Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
observable0	8.500702	8.175054	1.923731	1.910306	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.734200	1.914371	1.751306
gear0	0.662883	0.306579	0.037537	0.017926	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.603939	0.157019	1.350711
StrutGear0	0.059509	0.033473	0.000691	0.000401	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
StrutGear1	0.228036	0.223595	0.007070	0.007070	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
pylon0	0.612923	0.338739	0.015375	0.008774	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
main_carry_through0	11.557514	10.950575	1.082126	1.058700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.000000	0.628075	11.182511
engine_pylon0	0.488550	0.378869	0.009457	0.007573	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
main_wing0	22.231627	21.922255	0.927640	0.927640	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
main_wing1	22.231627	21.922255	0.927640	0.927640	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
v-tail0	9.935753	9.540151	0.283126	0.280709	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
landing_pods0	3.201876	3.106522	0.301333	0.301333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
landing_pods1	3.201876	3.106522	0.301333	0.301333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
StrutGear0	0.729763	0.017140	0.021089	0.000511	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
StrutGear1	0.308587	0.000000	0.010468	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
StrutGear2	0.729763	0.017140	0.021089	0.000511	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
StrutGear3	0.308587	0.000000	0.010468	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
